['Am/dm/manager Data Scientist Insurance (2-8 Years)',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['Data Scientist - R/python & Predictive Modelling',TransOrg Solutions  Services (P) Ltd.',2-6 yrs',Mumbai',R,Predictive Modeling,Logistic Regression,Predictive Analytics...',  Not disclosed ',12 days ago',datetime.datetime(2018,3,10,22,37,53,559750)],,,,,,,,,,,,,,,
['Data Analyst,Data Scientist',Confidential',0-3 yrs',Mumbai',C,C++,Image Processing,Opencv,Computer Vision,Machine Learning,Cuda...',  Not disclosed ',9 days ago',datetime.datetime(2018,3,10,22,37,53,566782)],,,,,,,,,,,
['Data Scientist',ICICI Bank Ltd',13-17 yrs',Mumbai,Mumbai Suburbs,Navi Mumbai',Discoverer,Big Data,Product Development,Data Processing...',  Not disclosed ',22 days ago',datetime.datetime(2018,3,10,22,37,53,573787)],,,,,,,,,,,,,
['Senior Data Scientist',JPMorgan Chase',3-5 yrs',Mumbai',data science,Algorithms,Service,Consulting,Data analysis,Auditing...',  Not disclosed ',24 days ago',datetime.datetime(2018,3,10,22,37,53,579792)],,,,,,,,,,,,,
['Senior Data Scientist',Upstox - Startup',5-10 yrs',Mumbai',data science,r,python,statistics,data scientist,Data Analyst',  Not disclosed ',24 days ago',datetime.datetime(2018,3,10,22,37,53,585795)],,,,,,,,,,,,,
['Senior Data Scientist',JP Morgan Chase',0-5 yrs',Mumbai,Mumbai',technology,finance,operations,human resources',  Not disclosed ',26 days ago',datetime.datetime(2018,3,10,22,37,53,593801)],,,,,,,,,,,,,,
['Onsite(uk) Job Opportunity for Sr. Data Scientist',Exponentia Datalabs',3-8 yrs',Mumbai',deep learning,natural language processing,neural networks,data science...',  Not disclosed ',26 days ago',datetime.datetime(2018,3,10,22,37,53,600780)],,,,,,,,,,,,,,,
['Data Scientist',Startup - Stylabs',2-5 yrs',Mumbai',Natural Language Processing,Text Mining,Machine Learning,NLP,Python...',  Not disclosed ',22 days ago',datetime.datetime(2018,3,10,22,37,53,611789)],,,,,,,,,,,,,,
['Senior Data Scientist',Vahanalytics-Startup',2-5 yrs',Mumbai',Big Data,Data Collection',  Not disclosed ',25 days ago',datetime.datetime(2018,3,10,22,37,53,618794)],,,,,,,,,,,,,,,,,
['Python Data Scientist - Analyst/ Sr Analyst',OST Placement Search Private Limited',2-6 yrs',Delhi NCR,Bengaluru,Mumbai',Analytical Techniques',    10,0,000 - 20,0,000 P.A.  ',29 days ago',datetime.datetime(2018,3,10,22,37,53,627358)],,,,,,,,,,,,
['Lead Data Scientist - Education Technology Firm',Premium',8-10 yrs',Mumbai',machine learning,neural networks,r,data science,algorithms,sas...',  Not disclosed ',9 days ago',datetime.datetime(2018,3,10,22,37,53,637846)],,,,,,,,,,,,,
['Lead Data Scientist - KPO',Premium',8-13 yrs',Mumbai',Data Scientist,Regression,neural networks,machine learning...',  Not disclosed ',11 days ago',datetime.datetime(2018,3,10,22,37,53,644357)],,,,,,,,,,,,,,,
['Hiring for Sr. Data Scientist with Leading IT Company for Mumbai',Think People Solutions Private Ltd',4-8 yrs',Mumbai',Machine Learning,Python,R,Finance,Business Requirement Analysis...',    5,0,000 - 15,0,000 P.A.  ',12 days ago',datetime.datetime(2018,3,10,22,37,53,654357)],,,,,,,,,,
['Data Scientist',Truebil.com',2-5 yrs',Mumbai',Data Scientist,data mining,business process management,R,SAS,SPSS...',  Not disclosed ',51 days ago',datetime.datetime(2018,3,10,22,37,53,661368)],,,,,,,,,,,,,
['Data Scientist',Morningstar India (P) Ltd.',2-7 yrs',Mumbai,Navi Mumbai',python,r,sql,analytics,machine learning,data scientist,data science...',    5,0,000 - 12,0,000 P.A.  ',53 days ago',datetime.datetime(2018,3,10,22,37,53,671378)],,,,,,,
